name,current_price,original_price,discount_pct,rating,review_count,image_url,product_url
"AULA F75 Pro Wireless Mechanical Keyboard,75% Hot Swappable Custom Keyboard with Knob,RGB Backlit,Pre-lubed Reaper Switches,Side Printed PBT Keycaps,2.4GHz/USB-C/BT5.0 Mechanical Gaming Keyboards","$18,256.17","PKR 19,217.16",Overall Pick,,,https://m.media-amazon.com/images/I/61MC8BK0w0L._AC_UY218_.jpg,https://www.amazon.com/F75-Pro/dp/B0D14N2QZF/ref=sr_1_1?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-1
SteelSeries Apex Pro TKL Gen 3 OmniPoint 3.0 HyperMagnetic Switches — Adjustable Actuation — Rapid Trigger — Game-Ready Presets — Protection Mode — Rapid Tap/SOCD — OLED — RGB — PBT Keycaps — USB-C,"$49,300.56","PKR 66,849.21",,,,https://m.media-amazon.com/images/I/713vLZcw3FL._AC_UY218_.jpg,https://www.amazon.com/SteelSeries-Apex-Pro-TKL-Gen/dp/B0DGZLHN8G/ref=sr_1_2?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-2
SteelSeries Apex 3 RGB Gaming Keyboard – 10-Zone RGB Illumination – IP32 Water Resistant – Premium Magnetic Wrist Rest (Whisper Quiet Gaming Switch),"$13,924.71","PKR 15,317.46",,,,https://m.media-amazon.com/images/I/61is2ZwnHEL._AC_UY218_.jpg,https://www.amazon.com/SteelSeries-Apex-RGB-Gaming-Keyboard/dp/B07ZGDPT4M/ref=sr_1_3?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-3
"GravaStar Mercury K1 75% Wireless Mechanical Gaming Keyboard, Aluminum Alloy, Gasket Compact Custom Keyboard Hot-Swap Socket, Linear Switches, RGB Backlit - Gradient Black","$30,765.85","PKR 36,197.57",,,,https://m.media-amazon.com/images/I/6144lt2l5JL._AC_UY218_.jpg,https://www.amazon.com/GravaStar-K1-Wireless-Mechanical-Exoskeleton/dp/B0DFXV6ZPM/ref=sr_1_4?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-4
"Redragon S101M-KS Gaming Keyboard and Mouse Wireless with Tri-Mode, RGB Keyboard and 4800 DPI Gaming Mouse, 10 Independent Multimedia Keys for Wins, PC, Computer, Wireless S101 Ideal for Gamer","$15,317.46",,,,,https://m.media-amazon.com/images/I/7165L+SRfDL._AC_UY218_.jpg,https://www.amazon.com/Redragon-S101M-KS-Keyboard-Independent-Multimedia/dp/B0DXTV9BGJ/ref=sr_1_5?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-5
"ASUS ROG Strix Scope II 96 Wireless Mechanical Gaming Keyboard – 96% Full-Size, Tri-Mode Connectivity, Hot Swappable Pre-lubed ROG NX Snow Linear Switches, PBT Keycaps, RGB, PC/Mac Support-Black","$37,044.36","PKR 50,136.21",,,,https://m.media-amazon.com/images/I/91YxKZjwOPL._AC_UY218_.jpg,https://www.amazon.com/ASUS-II-Switch-Dampening-Hot-Swappable-PBT/dp/B0C7KFZ5TL/ref=sr_1_6?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-6
Razer BlackWidow V4 X Mechanical Gaming Keyboard: Yellow Switches Linear & Silent - 6 Macro Keys - Chroma RGB - Doubleshot ABS Keycaps - Roller & Media Keys - Snap Tap,"$27,852.21","PKR 36,208.71",,,,https://m.media-amazon.com/images/I/71m+Xv1JKML._AC_UY218_.jpg,https://www.amazon.com/Razer-BlackWidow-Mechanical-Doubleshot-Stabilizers/dp/B0C8QYB8W6/ref=sr_1_7?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-7
SteelSeries USB Apex 5 Hybrid Mechanical Gaming Keyboard – Per-Key RGB Illumination – Aircraft Grade Aluminum Alloy Frame – OLED Smart Display (Hybrid Blue Switch),"$27,568.09",,,,,https://m.media-amazon.com/images/I/81yd9W+0doL._AC_UY218_.jpg,https://www.amazon.com/SteelSeries-Apex-Hybrid-Mechanical-Gaming-Keyboard/dp/B07ZGDD6B1/ref=sr_1_8?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-8
Razer Huntsman Mini 60% Gaming Keyboard: Clicky Optical Switches - Aluminum Top Frame - Chroma RGB Lighting - PBT Keycaps - Onboard Memory - Snap Tap - Black,"$20,888.46","PKR 36,208.71",,,,https://m.media-amazon.com/images/I/618etkLUt9L._AC_UY218_.jpg,https://www.amazon.com/Razer-Huntsman-Mini-Gaming-Keyboard/dp/B0F2GVF5HC/ref=sr_1_9?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-9
"Corsair K100 RGB Optical-Mechanical Wired Gaming Keyboard - QWERTY US Layout, OPX Switches - PBT Double-Shot Keycaps - Elgato Stream Deck and iCUE Compatible - Black","$55,707.21","PKR 80,776.71",,,,https://m.media-amazon.com/images/I/71QCqjg5j8L._AC_UY218_.jpg,https://www.amazon.com/Corsair-K100-Optical-Mechanical-Gaming-Keyboard/dp/B08HR74WV4/ref=sr_1_10?crid=346Z7KIL7KAJP&dib=eyJ2IjoiMSJ9.aFu7MWiBiJUV8O72l_5_q_dAZMY4xWV9IBgQpzgHHpFyBIod4Nc1N_qU42bYgrVnbdEDLMyV0GMaiNDd9co2C0MVF3gNswTfEWpDtMlV5hBbV2GsUiEyeZxx_xjWLNBrr0GGggd3DBZTLM4V8g0y5GEbuCGNNbY_pIuq4tjhpx_AyPufPr8lQsFGUsNkyPAzGRKq7dxkxxtbT_TeyzuwVSPc5MAETwqGBX7CobFQPa4.TeUbkN5cBgEZ9IK0Isl0em7pIXLPj8cCOlTqGLaYrKM&dib_tag=se&keywords=best+gaming+keyboard&qid=1779611784&sprefix=best+gaming+keyboard%2Caps%2C680&sr=8-10
