Headline,Category,Link
Rubio tries to reassure Nato allies over US troop deployments,World,https://www.bbc.com/news/articles/cedpz9669deo
Why thousands of stock trades tied to Trump are raising eyebrows,Business,https://www.bbc.com/news/videos/cd6pzg7z319o
Bank boss sorry after describing workers as 'lower value human capital',Business,https://www.bbc.com/news/articles/c98rqld1j3yo
US navy chief says $14bn arms sale to Taiwan paused due to Iran war,World,https://www.bbc.com/news/articles/c232z4yk437o
Ebola risk raised to 'very high' in DR Congo,Africa,https://www.bbc.com/news/articles/cr7p30m1dn1o
Lupita Nyong'o rejects criticism of Helen of Troy role,Culture,https://www.bbc.com/news/articles/c242d9472dqo
"AI used to fake evidence that ended Korean actor's career, say police",Asia,https://www.bbc.com/news/articles/c0r2j18k2vxo
Alberta to hold referendum on whether to remain in Canada,US & Canada,https://www.bbc.com/news/articles/cvgze8n5dxko
An Indian bride dies. Rival claims of murder and suicide set off media frenzy,Asia,https://www.bbc.com/news/articles/czd2q140my1o
"'Everyone's always had an opinion, now you can bet on it': Prediction markets and their appeal to young men",BBC InDepth,https://www.bbc.com/news/articles/c93xv27kpwxo
Cubans grapple with fuel shortages and blackouts as US steps up pressure,Latin America,https://www.bbc.com/news/articles/c3e2w43lkvzo
"Stop blaming young people for being unemployed, says Amazon's UK boss",Business,https://www.bbc.com/news/articles/c0l2x5351n4o
England World Cup squad: The 'anti-Southgate' Thomas Tuchel does not hide from tough calls,England Men,https://www.bbc.com/sport/football/articles/ce9p4v50pkko
Timelapse footage shows 'giant cave' inflating on Paris bridge,Europe,https://www.bbc.com/news/videos/cx214kxw2y4o
"Maisie Peters on change, having a thick skin and her 'healed' sound",Newsbeat,https://www.bbc.com/news/articles/cd7p4wzxn3qo
Record 274 climbers scale Everest via Nepal in one day,Asia,https://www.bbc.com/news/articles/c4g07vng8z1o
London mayor putting 'politics over safety' Palantir UK boss says,London,https://www.bbc.com/news/articles/c9wend4lk2no
'No means no': Greenlanders protest against Trump outside new US consulate,World,https://www.bbc.com/news/articles/cwy2gxvnq1zo
Stand to be named after Pep Guardiola as Man City exit confirmed,Premier League,https://www.bbc.com/sport/football/articles/cx21y7023qxo
Angry crowd sets Ebola hospital tents on fire in DR Congo,Africa,https://www.bbc.com/news/articles/cp8p2g8yp8do
UK scientists developing Ebola vaccine that could be ready for trials in months,Africa,https://www.bbc.com/news/articles/cy82gkr7xzlo
Real Madrid head coach Arbeloa confirms departure,European Football,https://www.bbc.com/sport/football/articles/cvgz3wgy9vvo
Sabalenka cuts news conference short as French Open players protest over pay,Tennis,https://www.bbc.com/sport/tennis/articles/ce3pg95djdeo
'Unselfish' over 'ego' - what do leaks say about Tuchel's England?,England Men,https://www.bbc.com/sport/football/articles/cg4pgve33kyo
